R_squared	Analysis_Type	Target_Group	Source_File	GO.ID	Term	Annotated	Significant	Expected	Classic_Fisher
0.70	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_CC.txt	GO:0062129	chitin-based extracellular matrix	29	11	0.07	7.9e-25
0.70	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_CC.txt	GO:0031012	extracellular matrix	85	13	0.2	1e-04
0.70	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0008010	structural constituent of chitin-based larval cuticle	29	9	0.07	1.6e-19
0.70	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0005391	P-type sodium:potassium-exchanging transporter activity	4	1	0.01	0.0092
0.70	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0004867	serine-type endopeptidase inhibitor activity	13	1	0.03	0.0297
0.70	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0030414	peptidase inhibitor activity	19	1	0.04	0.0431
0.70	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0004866	endopeptidase inhibitor activity	19	1	0.04	0.0431
0.70	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0061135	endopeptidase regulator activity	21	1	0.05	0.0475
0.70	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0061134	peptidase regulator activity	22	1	0.05	0.0497
0.70	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0006883	cellular sodium ion homeostasis	8	1	0	0.0015
0.70	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0036376	sodium ion export across plasma membrane	8	1	0	0.0015
0.70	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0030007	cellular potassium ion homeostasis	8	1	0	0.0015
0.70	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:1990573	potassium ion import across plasma membrane	14	1	0	0.0027
0.70	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:1902600	proton transmembrane transport	33	1	0.01	0.0063
